,source,target,value
0,France,Russia,12
1,Germany,Russia,21
2,Germany,Italy,26
3,Austria,Germany,11
4,Germany,Spain,2
5,France,Spain,1
6,France,Poland,11
7,France,Germany,30
8,Germany,Poland,29
9,Estonia,Germany,5
10,Estonia,Latvia,12
11,Latvia,Lithuania,6
12,Finland,Lithuania,11
13,Finland,Germany,11
14,Belgium,Poland,5
15,Belgium,Netherlands,6
16,Luxembourg,Netherlands,6
17,Belgium,Luxembourg,5
18,Belgium,Denmark,5
19,Denmark,Norway,12
20,Denmark,Sweden,6
21,Germany,Sweden,6
22,France,Italy,5
23,Albania,Greece,12
24,Greece,Ukraine,4
25,Belarus,Ukraine,6
26,Belarus,Libya,3
27,Egypt,Libya,15
28,Egypt,Iraq,5
29,Germany,Japan,24
30,Japan,Russia,15
31,Germany,Morocco,2
32,Algeria,Morocco,6
33,Algeria,Italy,5
34,China,Japan,30
35,Japan,Thailand,11
36,Japan,Philippines,11
37,India,Japan,12
38,China,France,6
39,China,India,12
40,India,Pakistan,18
41,Israel,Pakistan,6
42,Israel,South Africa,12
43,Israel,Libya,5
44,Iran,Libya,6
45,Germany,Iran,3
46,France,Japan,4
47,Japan,Papua New Guinea,2
48,India,Papua New Guinea,2
49,Pakistan,Philippines,6
50,Laos,Philippines,5
51,Cambodia,Laos,6
52,Cambodia,Kenya,6
53,Ghana,Kenya,6
54,Ghana,Guinea-Bissau,5
55,Angola,Guinea-Bissau,6
56,Angola,Mozambique,6
57,Latvia,Mozambique,1
58,Estonia,Lithuania,6
59,Finland,Romania,6
60,Albania,Romania,5
61,Albania,Bulgaria,6
62,Bulgaria,Poland,6
63,Poland,Romania,6
64,Hungary,Romania,6
65,Hungary,Mongolia,5
66,China,Mongolia,6
67,China,North Korea,6
68,Cuba,North Korea,10
69,North Korea,South Korea,6
70,Canada,South Korea,6
71,Australia,Canada,6
72,Australia,Vietnam,4
73,Cambodia,Vietnam,6
74,Cuba,Vietnam,5
75,India,South Africa,1
76,Rwanda,South Africa,5
77,North Korea,Rwanda,2
78,Finland,Russia,6
79,Germany,Norway,6
80,Greece,Italy,3
81,Italy,Japan,6
82,Romania,Russia,6
83,India,Lebanon,2
